old                                      new
00312f20b0ef88052cbef8a1c57135ee0fac4166 412d1ebe493300df0283ac4487f8b3b420bd5b30
0054f44487d0d369f9a7926852a30e009c2f8f12 0000000000000000000000000000000000000000
00616b52f3f09de7483b139e549b959d36954573 aa4a961c698cb71f0a8dbdc263f1014fb679f8ac
0074648fbeb429e2cc00a3b4e5d53a6b63c8d473 77549d706b7e32193dfc7c70256264cd279477f3
01064e6753d8f312cbe81c8bdcc5404a1fccf450 2fd5f03b85c8295ef0b2f064023742a32484b05f
010acb530574a6415295eb8da46b995d835fbb5a 0000000000000000000000000000000000000000
013a26f50a4497641275b160f657ba2eb6b228f0 986d38b1781978a7da645d23ac0fedb4281dd16c
015f7ce4ddeb607b3028601130044181338335ef 0000000000000000000000000000000000000000
0218ff3ea9451395f16dbe75ed747d9c112db58d 31957352f252c6bbfb8c576a56b54e19d17fcd5a
029be7dc07cd16d952b2b2abfa7397ee8b946b19 dcd1f5aabb15ea111890662354d1b853ffbee208
02a4aa389298fe627a05ff68e48ad777c8622a27 0000000000000000000000000000000000000000
02a7b68027638045083fbfec0f1651417427a41e 0000000000000000000000000000000000000000
02b5a184021686e612eff58b97af1a6723ac60e3 1c015f4e83de6145ed1457d9f289829a9b81d445
02c33f0c9d8826aca484250e09a7e3fdaffe6785 73d95de2fc26958eddc3a07bc87cf03a897e7a1c
02e4975a67956fce12dbdd4883449c6960e281c8 0000000000000000000000000000000000000000
02faf196249bb4249a02c38994666097698985fa 0000000000000000000000000000000000000000
035420b2c0a4612de73eb6289689b1c1e7c0afa1 7babd2ca61d2e262269e03f1ab9fbfbcc6583d84
036da32040474364f096ea08fde206d70c24a746 08c0a4fe83f97e20c9f03b47a069c9a291e2f8d7
03ad5b6dcc9f5a0b86c119d3689741548834bcde b13a4d2440b6b12bf4e51c3b5948c11dab9ea724
03db927f691938e8c728b214252e1175d76d7e50 fcb512c44318ac93228043738c9d71d44a07544c
03f77c5926bd8c68e2e39f07a54d68ecdcdb4231 0000000000000000000000000000000000000000
0479f38dfcbed76c44c07f586caebfbd0a85305a 0000000000000000000000000000000000000000
04b5e378f1d2cef58443f1775c103dfb65c8a82e 0000000000000000000000000000000000000000
04da207c8a5be04dbece0efb5014838349dea277 9b47be84bc03f645c034ef4dbe1a7def34178f0d
062871b07fb464fde7b94111ac8f5e6e8fee6f4b 9616eca48556acebb59813fca0ee86661a650a64
0648686a9b1ae9633d5744be4905916c15308e95 ffe932306f9d96c497f2ea68545c7e2f12c3a867
065702a854ed4e370f6bba8df3de7b1e48cbf98a 0000000000000000000000000000000000000000
06689ca237b1f7216cf39a4603ff10c2cf4c8b4c 0000000000000000000000000000000000000000
06bf91f0597552f761b126d7476dcf0c290e062f 0000000000000000000000000000000000000000
06dcf66fd31f7636ae1ee015810c033be9b184ae 0000000000000000000000000000000000000000
06ee2f7c4b81dc31acd03f06dec4a33a3813ed96 1334c1e7d6e937ce0852d690b97055d7dcd91a97
0768fbf6fcccecbc633ae3c0f43c1ec8b745901d 6ccfa7c6f1355958466977cc228fd6518ae129ae
07954b888a7ef570c58a2066c9f43a94b56bf738 648380d321ef56f8f5d11636ca697d52bf0778a0
07cc3f84fdb5ea2f3a81fd57a026b0774d698474 c7bb3caa8904a8a27dc0239b1645addfb63f752a
07cd941314a52a0cfb2f73b24f86bb3e7bd07127 d577fd88cde21b6a8fa27d1c1c40393ec71ecf65
07f9870dfbf3a5c7b64c047a66c0879139894ffc 789be9baa738536d4a48ad2733c6f8d943fb8e0c
0846af5618b791a0bbe284545d8d68c31bc79b81 a4cc93fb94a2ac4e2a760e94e1be259dd745e176
084b63ab52152d22063a79789978ca0188073481 0000000000000000000000000000000000000000
08e8bae894cd46bcc3f854b3b24341ee6ae68687 222855ff125f1cc056480373d96bdc487c18694d
0916e1cfe238939d5ea64927740337492ab4ea07 5f44b9087761ae62595f2dc8835a794de8de8bdf
092afe74ec456c8266d52289fbe8597a824a0545 0000000000000000000000000000000000000000
097a4d0163873edd377f195f5eb62ff54846da6e 0000000000000000000000000000000000000000
099f6ff7836d5d202586a6ea1f0f903f18f41adf 0000000000000000000000000000000000000000
09a4099e143208cc82b4581eba98c03a09831bbd 8a99c2da1b535875b3343ec495e78c502566d294
09cc82f0e81d4c5efcece90bc8b32d5bdc2feb21 0000000000000000000000000000000000000000
09eb220c90ee6febd6ddaa8455d39be373cc8e6c cf4f84f53ebb224f9fd1f3d2ba412461c226cc21
0a3e9577e920f440f0b6d5c9e6ce06a587aacae9 f18cb3c41bdf3ec6a172d8097dfe6ca3a82f31c1
0a7dc647c3530abe83d25fbaf9ff2030029689b1 82ea3c33e0044da0cfe5a34bda2effb0c1858f54
0aab3538e368cd643156c7fa47d3fa372d174dd9 2e908a383d0a48105edc790984cf0741c8e6fdba
0b2ec6cbb74183f88c651cb28fc255a54e38f6e9 312b19e346c8537a34ed92684333a02bc46c11d6
0b32c9b950baa21df447b741b1e7c7d726a59d18 bd358f0d32fc34d00a5ac4cbd481fc8d0e3f5768
0b4b576db1f3e88573a8816968c76ec25836a301 0d62526053f57244f2a8f768c1abb08fcf51502c
0b5a4d173a0cfd6859f489efe055678ac5b30bff f210a672bb1e34e407ee8bb043bf167874b807db
0b71acf73076de27b43542af6d2fc9e4dc2b93f3 c0278aaa7ddab29d06d3feb054c08df811d3e947
0b9b26c2046042c7a059b615865a13c63a7bc40f 842beaefa906695b322e9cd8750e4f5b85df2a3d
0bb699047a749ece8ea9b9bfeb458ca22420b1f0 0000000000000000000000000000000000000000
0bc5a004372c6bc1e442f94c703a3469ffcb0f7e c4321147655c5be44f1b7bcfbd3dd76dae497462
0bea16c3bfc7426a771667ee52d23cf6bf638d41 0000000000000000000000000000000000000000
0bf08cb0e88c13e6d644622a2f98986c8bdc85f1 0000000000000000000000000000000000000000
0c33a59c14df189900ba15807f506a558f1fdb82 0000000000000000000000000000000000000000
0ca1e113037b1eda44a667acbd20da60967b2eb8 0000000000000000000000000000000000000000
